# Módulo A2-7 — Salud y condicionales (curso es→el, nivel A2)
#
# Gramática que ancla: CONDICIONALES con αν + comparativos de adverbios.
#
# El condicional es de lo que MEJOR transfiere del español: «si… entonces»
# funciona igual. αν + subjuntivo → futuro, exactamente como «si te duele más,
# tomarás estas pastillas».
#
# Lo que sí es nuevo: los comparativos monoléxicos (-ότερος), que conviven con
# los perifrásticos (πιο + adjetivo). El español solo tiene la forma con 'más',
# salvo cuatro irregulares (mejor, peor, mayor, menor) — que son justo los que
# también son irregulares en griego. Buen sitio para señalar el paralelo.
#
# Transliteración escrita para hispanohablante: χ→j · δ→d(cada) · θ→th · β→v · γ→g · οι/ει/η/υ→i · μπ→b · ντ→d
griego,articulo,forma_base,transliteracion,espanol,categoria,tipo_palabra,emoji,nota
αν,,,an,si (condicional),condicional,partícula,🔀,"Funciona igual que el 'si' español: αν + subjuntivo → futuro."
αν πονέσεις,,,an ponésis,si te duele,condicional,expresión,🤕,"αν + subjuntivo. Compara con 'si te duele', que en español también cambia de modo."
θα πάρεις,,,tha páris,tomarás,condicional,expresión,💊,La consecuencia va en futuro. Misma estructura que en español.
αν μπορείς,,,an borís,si puedes,condicional,expresión,💪,
αν θέλεις,,,an thélis,si quieres,condicional,expresión,🎯,Fórmula muy usada para suavizar una petición.
γιατρός,ο,,yatrós,médico,salud,sustantivo,🩺,"MASCULINO en -ός, vale para ambos géneros: ο/η γιατρός."
νοσοκομείο,το,,nosokomío,hospital,salud,sustantivo,🏥,NEUTRO en -ο.
φαρμακείο,το,,farmakío,farmacia,salud,sustantivo,💊,NEUTRO. De φάρμακο.
φάρμακο,το,,fármako,medicamento,salud,sustantivo,💊,NEUTRO en -ο. De aquí viene 'farmacia'.
χάπι,το,,jápi,pastilla,salud,sustantivo,💊,NEUTRO en -ι. La χ es la j de 'jamón'.
πυρετός,ο,,piretós,fiebre,salud,sustantivo,🌡️,MASCULINO en -ός. Genitivo: του πυρετού.
πονοκέφαλος,ο,,ponokéfalos,dolor de cabeza,salud,sustantivo,🤕,De πόνος (dolor) + κεφάλι (cabeza).
