# Módulo A2-3 — Historias de vida: los aoristos irregulares (curso es→el, nivel A2)
#
# Gramática que ancla: AÓRISTOS IRREGULARES de alta frecuencia.
#
# Por qué van en su propio módulo: en los manuales de referencia los
# irregulares se enseñan en DOS tandas, no de golpe (unidades 12 y 13 de
# Ελληνικά Α΄). Son los verbos más usados del idioma, así que no se pueden
# posponer, pero tampoco caben todos en una lección.
#
# NO HAY REGLA. El tema cambia por completo: βλέπω → είδα, τρώω → έφαγα.
# Esto es exactamente igual que en español (voy → fui, digo → dije), y ese es
# el puente: no es una rareza griega, es que los verbos más usados de cualquier
# idioma son los más irregulares, porque el uso constante los conserva.
#
# Se aprenden por repetición espaciada, uno a uno, no por patrón.
#
# Transliteración escrita para hispanohablante: χ→j · δ→d(cada) · θ→th · β→v · γ→g · οι/ει/η/υ→i · μπ→b · ντ→d
griego,articulo,forma_base,transliteracion,espanol,categoria,tipo_palabra,emoji,nota
είδα,,βλέπω,ída,vi,irregular-vista,verbo,👀,"IRREGULAR total: de βλέπω no queda nada. Como 'voy → fui' en español."
είπα,,λέω,ípa,dije,irregular-habla,verbo,💬,"IRREGULAR. Compáralo con el español: 'digo → dije' también cambia."
έφαγα,,τρώω,éfaga,comí,irregular-comida,verbo,🍽️,IRREGULAR. El tema pasa a φαγ-.
ήπια,,πίνω,ípia,bebí,irregular-comida,verbo,🥤,IRREGULAR con aumento ή-. Solo unos pocos verbos lo llevan.
πήγα,,πάω,píga,fui,irregular-movimiento,verbo,🚶,"IRREGULAR. Igual que en español, 'ir' es de los más irregulares."
ήρθα,,έρχομαι,írtha,vine,irregular-movimiento,verbo,🚪,"IRREGULAR con aumento ή-. Además έρχομαι es DEPONENTE: no existe ✗έρχω."
έφυγα,,φεύγω,éfiga,me fui / salí,irregular-movimiento,verbo,🏃,IRREGULAR. El grupo ευ del presente desaparece.
μπήκα,,μπαίνω,bíka,entré,irregular-movimiento,verbo,🚪,IRREGULAR. El grupo μπ suena /b/.
βγήκα,,βγαίνω,vyíka,salí,irregular-movimiento,verbo,🚪,IRREGULAR. Pareja de μπήκα.
ανέβηκα,,ανεβαίνω,anévika,subí,irregular-movimiento,verbo,⬆️,IRREGULAR. El aumento va DENTRO: αν-έ-βηκα.
κατέβηκα,,κατεβαίνω,katévika,bajé,irregular-movimiento,verbo,⬇️,IRREGULAR con aumento interno. Pareja de ανέβηκα.
